,title,total_rater,average_rating,GMM_labels,HIE_labels,KMeans_labels
163,165,825,3.56,8.0,70.0,19.0
164,166,61,2.46,11.0,21.0,12.0
165,167,5,3.6,1.0,4.0,2.0
166,168,362,2.95,2.0,48.0,30.0
167,169,113,2.02,17.0,34.0,6.0
168,170,321,3.15,2.0,47.0,53.0
169,171,93,3.57,0.0,20.0,64.0
170,172,458,2.58,2.0,71.0,13.0
171,173,564,2.31,2.0,71.0,13.0
172,174,81,2.31,17.0,32.0,6.0
173,175,220,3.48,0.0,43.0,61.0
174,176,205,3.92,0.0,50.0,54.0
175,177,139,2.73,15.0,38.0,10.0
176,178,19,3.47,11.0,23.0,60.0
177,179,48,2.21,11.0,22.0,64.0
178,180,451,3.55,14.0,57.0,46.0
179,181,93,1.61,17.0,30.0,6.0
180,182,49,3.14,11.0,22.0,64.0
181,183,29,3.48,11.0,20.0,12.0
182,184,26,3.35,11.0,21.0,0.0
183,185,569,2.87,2.0,71.0,13.0
184,186,211,2.76,14.0,44.0,1.0
185,187,105,3.24,11.0,28.0,54.0
186,188,190,3.22,15.0,38.0,10.0
187,189,15,3.4,3.0,6.0,39.0
188,190,100,3.75,0.0,20.0,0.0
189,191,75,2.47,17.0,28.0,38.0
190,192,2,3.0,1.0,4.0,9.0
191,193,217,2.05,14.0,41.0,33.0
192,194,213,3.76,0.0,49.0,61.0
193,195,164,2.84,14.0,42.0,52.0
194,196,550,2.82,2.0,71.0,13.0
195,197,17,3.06,11.0,23.0,42.0
196,198,605,3.3,2.0,59.0,13.0
197,199,117,3.81,11.0,11.0,63.0
198,200,12,2.42,3.0,8.0,12.0
199,201,33,2.64,11.0,22.0,64.0
200,202,30,2.5,3.0,24.0,60.0
201,203,203,3.05,14.0,45.0,52.0
202,204,203,2.92,4.0,46.0,53.0
203,205,85,3.61,11.0,28.0,64.0
204,206,82,3.67,11.0,24.0,68.0
205,207,219,3.13,14.0,42.0,52.0
206,208,651,2.63,8.0,70.0,19.0
207,209,52,2.46,17.0,22.0,64.0
208,210,41,3.15,13.0,21.0,48.0
209,211,34,3.56,11.0,23.0,60.0
210,212,14,1.93,3.0,6.0,2.0
211,213,122,4.06,11.0,23.0,60.0
212,214,28,4.25,11.0,20.0,60.0
213,215,160,3.81,0.0,20.0,54.0
214,216,355,3.18,14.0,45.0,1.0
215,217,64,2.62,3.0,33.0,12.0
216,218,195,3.13,14.0,43.0,52.0
217,219,22,3.18,3.0,22.0,64.0
218,220,28,1.82,3.0,17.0,29.0
219,222,329,3.55,0.0,43.0,35.0
220,223,1412,3.95,5.0,56.0,46.0
221,224,386,3.39,5.0,49.0,35.0
222,225,254,3.17,14.0,58.0,58.0
223,226,1,2.0,1.0,3.0,9.0
224,227,129,2.67,4.0,30.0,51.0
225,228,13,2.15,3.0,6.0,42.0
226,229,108,3.5,0.0,50.0,61.0
227,230,349,3.45,5.0,56.0,58.0
228,231,660,3.19,9.0,61.0,62.0
229,232,345,4.08,0.0,50.0,22.0
230,233,235,3.61,0.0,50.0,54.0
231,234,147,2.22,14.0,25.0,1.0
232,235,926,3.7,18.0,65.0,37.0
233,236,326,3.3,14.0,44.0,52.0
234,237,257,2.97,14.0,44.0,52.0
235,238,32,2.81,3.0,8.0,32.0
236,239,168,2.88,16.0,27.0,27.0
237,240,45,2.71,3.0,33.0,12.0
238,241,29,3.31,17.0,33.0,32.0
239,242,80,3.5,11.0,23.0,60.0
240,243,10,2.1,1.0,6.0,2.0
241,244,10,1.9,3.0,6.0,29.0
242,245,11,3.0,1.0,7.0,43.0
243,246,715,4.19,5.0,49.0,41.0
244,247,476,3.87,5.0,49.0,41.0
245,248,138,2.91,14.0,25.0,1.0
246,249,261,3.76,0.0,43.0,35.0
247,250,30,2.6,3.0,32.0,39.0
248,251,18,3.28,3.0,33.0,39.0
249,252,367,3.27,14.0,44.0,62.0
250,253,738,3.52,8.0,58.0,49.0
251,254,38,3.08,11.0,23.0,60.0
252,255,66,2.06,17.0,32.0,6.0
253,256,218,2.65,16.0,48.0,1.0
254,257,114,3.23,4.0,41.0,33.0
255,258,144,2.42,17.0,27.0,32.0
256,259,102,2.84,4.0,41.0,33.0
257,260,2990,4.45,18.0,68.0,16.0
258,261,285,3.65,0.0,43.0,35.0
259,262,172,3.87,0.0,26.0,22.0
260,263,27,3.86,11.0,9.0,20.0
261,264,5,3.2,1.0,8.0,43.0
262,265,771,3.93,5.0,49.0,41.0
263,266,705,3.43,5.0,58.0,58.0
264,267,140,2.73,17.0,25.0,6.0
265,268,54,3.37,11.0,20.0,0.0
266,269,55,3.53,11.0,28.0,0.0
267,270,79,3.04,3.0,31.0,47.0
268,271,63,3.14,11.0,28.0,64.0
269,272,383,3.73,5.0,49.0,41.0
270,273,244,2.9,2.0,38.0,15.0
271,274,24,2.38,3.0,6.0,32.0
272,275,80,2.54,17.0,25.0,6.0
273,276,228,2.69,14.0,44.0,1.0
274,277,170,3.18,17.0,26.0,38.0
275,278,40,2.75,11.0,29.0,64.0
276,279,46,3.72,11.0,23.0,60.0
277,280,212,3.57,14.0,58.0,58.0
278,281,233,3.65,0.0,49.0,61.0
279,282,215,3.22,14.0,43.0,35.0
280,283,18,3.0,1.0,4.0,43.0
281,284,0,0.0,,,
282,285,0,0.0,,,
283,286,1,3.0,1.0,4.0,9.0
284,287,21,2.9,11.0,23.0,60.0
285,288,700,3.14,8.0,70.0,19.0
286,289,158,3.34,14.0,42.0,52.0
287,290,167,3.92,11.0,20.0,0.0
288,291,48,2.21,17.0,33.0,39.0
289,292,733,3.27,8.0,70.0,19.0
290,293,923,4.11,5.0,56.0,50.0
291,294,42,3.1,11.0,23.0,60.0
292,295,29,2.76,11.0,22.0,64.0
293,296,2170,4.28,18.0,66.0,50.0
294,297,28,3.11,3.0,5.0,39.0
295,298,23,3.91,1.0,9.0,20.0
296,299,143,3.66,0.0,20.0,0.0
297,300,704,3.76,5.0,56.0,50.0
298,301,43,3.3,11.0,8.0,68.0
299,302,86,3.81,11.0,20.0,0.0
300,303,418,2.98,2.0,47.0,30.0
301,304,35,3.14,3.0,22.0,64.0
302,305,127,2.5,0.0,28.0,54.0
303,306,333,4.23,0.0,50.0,22.0
304,307,243,4.1,0.0,50.0,22.0
305,308,202,3.97,0.0,50.0,22.0
306,309,48,3.69,1.0,16.0,42.0
307,310,6,2.67,1.0,3.0,9.0
308,311,1,3.0,1.0,4.0,2.0
309,312,112,2.44,17.0,25.0,6.0
310,313,54,2.89,3.0,34.0,32.0
311,314,300,3.85,0.0,50.0,22.0
312,315,153,2.65,4.0,46.0,53.0
313,316,1116,3.49,8.0,69.0,55.0
314,317,641,3.19,9.0,48.0,34.0
315,318,2226,4.55,18.0,66.0,50.0
316,319,273,3.89,0.0,49.0,61.0
317,320,32,3.41,11.0,20.0,60.0
318,321,61,3.75,11.0,23.0,60.0
319,322,209,3.71,0.0,50.0,61.0
320,324,33,3.97,11.0,24.0,60.0
321,325,49,2.45,17.0,32.0,6.0
322,326,60,4.34,11.0,23.0,0.0
323,327,358,2.61,2.0,39.0,67.0
324,328,144,3.11,15.0,37.0,10.0
325,329,990,3.38,8.0,69.0,55.0
326,330,149,2.73,15.0,37.0,10.0
327,331,21,3.1,11.0,23.0,60.0
328,332,161,2.55,15.0,37.0,10.0
329,333,410,3.5,9.0,45.0,1.0
330,334,113,3.86,0.0,20.0,0.0
331,335,41,3.49,11.0,20.0,0.0
332,336,19,2.68,3.0,4.0,2.0
333,337,693,3.84,5.0,56.0,26.0
334,338,221,2.88,2.0,46.0,53.0
335,339,673,3.5,9.0,61.0,62.0
336,340,84,3.27,17.0,28.0,38.0
337,341,31,3.84,11.0,6.0,68.0
338,342,518,3.68,5.0,49.0,41.0
339,343,42,2.43,3.0,6.0,32.0
340,344,766,3.15,9.0,61.0,62.0
341,345,469,3.81,5.0,49.0,41.0
342,346,120,3.52,0.0,50.0,61.0
343,347,46,3.17,11.0,20.0,0.0
344,348,454,3.7,5.0,49.0,41.0
345,349,1059,3.73,8.0,70.0,19.0
346,350,515,3.39,5.0,58.0,58.0
347,351,257,3.34,14.0,43.0,52.0
348,352,119,3.13,0.0,28.0,54.0
349,353,734,3.45,8.0,70.0,19.0
350,354,67,3.18,17.0,28.0,64.0
351,355,267,2.35,16.0,48.0,1.0
352,356,2194,4.09,18.0,66.0,17.0
353,357,1232,3.74,18.0,65.0,17.0
354,358,141,3.17,17.0,28.0,38.0
355,359,19,3.21,11.0,23.0,60.0
356,360,127,2.5,17.0,25.0,6.0
357,361,268,3.42,14.0,44.0,52.0
358,362,239,3.36,16.0,27.0,27.0
359,363,62,4.26,11.0,24.0,68.0
360,364,1121,3.86,9.0,63.0,49.0
361,365,71,3.17,11.0,28.0,64.0
362,366,251,2.82,15.0,37.0,10.0
363,367,1179,3.28,8.0,69.0,49.0
364,368,802,3.52,8.0,69.0,19.0
365,369,58,3.31,0.0,20.0,0.0
366,370,412,2.9,14.0,45.0,1.0
367,371,212,3.18,14.0,45.0,35.0
368,372,428,3.15,5.0,57.0,46.0
369,373,257,3.86,0.0,49.0,61.0
370,374,183,2.11,16.0,25.0,1.0
371,375,17,3.29,11.0,22.0,64.0
372,376,350,3.25,2.0,47.0,30.0
373,377,1650,3.57,8.0,68.0,16.0
374,378,140,2.89,17.0,31.0,38.0
375,379,436,2.89,2.0,71.0,13.0
376,380,1400,3.63,8.0,68.0,19.0
377,381,211,3.26,14.0,43.0,52.0
378,382,272,2.93,2.0,38.0,15.0
379,383,270,3.27,14.0,45.0,3.0
380,384,40,2.9,4.0,29.0,12.0
381,385,10,3.4,7.0,23.0,42.0
382,386,30,2.6,11.0,24.0,68.0
383,387,102,2.75,4.0,30.0,51.0
384,388,97,3.64,0.0,20.0,0.0
385,389,20,3.7,11.0,23.0,60.0
386,390,59,3.54,11.0,11.0,68.0
387,391,40,3.27,3.0,5.0,39.0
388,392,25,2.8,11.0,24.0,20.0
389,393,105,1.86,4.0,30.0,51.0
390,394,18,3.67,3.0,5.0,12.0
391,395,0,0.0,,,
392,396,1,4.0,1.0,4.0,9.0
393,397,12,2.42,1.0,4.0,9.0
394,398,1,4.0,1.0,4.0,9.0
395,399,0,0.0,,,
396,400,0,0.0,,,
397,401,2,3.0,6.0,2.0,28.0
398,402,1,3.0,1.0,3.0,9.0
399,403,0,0.0,,,
400,404,4,3.75,1.0,3.0,9.0
401,405,203,2.12,4.0,30.0,51.0
402,406,8,3.62,1.0,4.0,9.0
403,407,193,2.91,15.0,37.0,10.0
404,408,72,3.32,17.0,28.0,38.0
405,409,49,3.02,3.0,5.0,39.0
406,410,463,2.91,9.0,61.0,34.0
407,411,13,2.62,3.0,5.0,39.0
408,412,295,3.56,0.0,50.0,41.0
409,413,245,2.53,14.0,45.0,1.0
410,414,90,2.66,17.0,32.0,6.0
411,415,179,2.48,14.0,48.0,1.0
412,416,89,2.43,4.0,29.0,33.0
413,417,208,3.49,0.0,50.0,22.0
414,418,29,2.52,3.0,22.0,64.0
415,419,156,2.19,16.0,25.0,1.0
416,420,352,2.51,2.0,47.0,30.0
417,421,94,3.36,17.0,34.0,32.0
418,422,57,3.12,4.0,41.0,33.0
419,423,221,3.11,2.0,47.0,53.0
420,424,75,2.6,17.0,28.0,33.0
421,425,105,3.61,11.0,20.0,0.0
422,426,269,3.08,15.0,36.0,66.0
423,427,166,2.37,14.0,41.0,33.0
424,428,263,3.93,0.0,43.0,61.0
425,429,187,2.38,14.0,45.0,1.0
426,430,24,2.42,17.0,33.0,32.0
427,431,369,3.69,5.0,58.0,58.0
428,432,392,2.58,9.0,48.0,34.0
429,433,48,2.79,17.0,32.0,6.0
430,434,686,3.08,2.0,70.0,19.0
431,435,533,2.61,2.0,71.0,13.0
432,436,141,2.65,14.0,41.0,33.0
433,437,64,2.05,17.0,25.0,6.0
434,438,152,2.62,4.0,25.0,53.0
435,439,2,4.5,1.0,3.0,9.0
436,440,948,3.81,18.0,66.0,17.0
437,441,643,3.69,5.0,56.0,46.0
438,442,640,2.99,2.0,71.0,13.0
439,443,31,3.39,3.0,24.0,68.0
440,444,81,2.3,11.0,28.0,64.0
441,445,100,2.61,17.0,29.0,6.0
442,446,253,4.08,0.0,50.0,22.0
443,447,31,2.48,11.0,22.0,64.0
444,448,227,3.6,0.0,49.0,41.0
445,449,71,3.66,3.0,24.0,47.0
446,450,228,3.28,14.0,44.0,1.0
447,451,106,3.15,0.0,29.0,21.0
448,452,38,3.29,11.0,24.0,68.0
449,453,67,3.22,17.0,32.0,6.0
450,454,824,3.55,18.0,58.0,50.0
451,455,285,2.59,16.0,27.0,27.0
452,456,93,4.0,0.0,20.0,0.0
453,457,1994,4.1,8.0,68.0,16.0
454,458,87,3.28,4.0,30.0,40.0
455,459,143,2.83,4.0,30.0,53.0
456,460,38,2.26,17.0,32.0,6.0
457,461,86,3.28,11.0,24.0,0.0
458,462,28,2.64,3.0,6.0,42.0
459,463,47,2.74,17.0,28.0,12.0
460,464,216,2.78,4.0,46.0,53.0
461,465,105,3.31,0.0,28.0,21.0
462,466,573,2.8,2.0,70.0,19.0
463,467,54,3.2,3.0,24.0,47.0
464,468,350,3.27,14.0,43.0,35.0
465,469,69,2.96,11.0,22.0,64.0
466,470,38,1.74,17.0,32.0,39.0
467,471,599,3.63,5.0,56.0,26.0
468,472,44,2.7,17.0,22.0,64.0
469,473,151,2.23,14.0,25.0,1.0
470,474,972,3.83,8.0,70.0,19.0
471,475,312,3.9,0.0,49.0,41.0
472,476,35,2.69,11.0,24.0,47.0
473,477,195,3.47,0.0,43.0,35.0
474,478,24,2.46,3.0,22.0,64.0
475,479,133,2.8,4.0,46.0,53.0
476,480,2672,3.76,8.0,68.0,16.0
477,481,294,3.38,5.0,41.0,58.0
478,482,176,3.53,0.0,28.0,33.0
479,483,74,3.74,11.0,20.0,0.0
480,484,29,2.66,3.0,6.0,32.0
481,485,500,2.51,2.0,70.0,19.0
482,486,64,2.81,17.0,32.0,6.0
483,487,62,2.61,17.0,32.0,51.0
484,488,39,3.38,11.0,22.0,64.0
485,489,97,2.47,17.0,25.0,6.0
486,490,185,3.32,14.0,41.0,33.0
487,491,212,3.32,14.0,44.0,52.0
488,492,335,3.72,0.0,49.0,41.0
489,493,298,3.61,4.0,41.0,33.0
490,494,416,3.35,2.0,47.0,30.0
491,495,41,3.38,11.0,24.0,68.0
492,496,37,3.22,11.0,9.0,68.0
493,497,667,4.0,5.0,49.0,26.0
494,498,47,2.74,11.0,22.0,64.0
495,499,49,2.76,17.0,22.0,64.0
496,500,838,3.42,9.0,61.0,62.0
497,501,94,3.61,11.0,20.0,0.0
498,502,155,1.94,4.0,27.0,51.0
499,503,13,3.69,7.0,23.0,42.0
500,504,178,2.96,4.0,46.0,53.0
501,505,69,2.49,17.0,25.0,6.0
502,506,114,3.49,0.0,20.0,22.0
503,507,308,3.52,2.0,47.0,58.0
504,508,560,3.89,5.0,56.0,58.0
505,509,608,3.67,5.0,56.0,26.0
506,510,42,2.4,17.0,33.0,47.0
507,511,152,3.11,4.0,30.0,51.0
508,512,179,2.87,15.0,37.0,66.0
509,513,67,3.12,17.0,29.0,40.0
510,514,346,3.53,14.0,57.0,46.0
511,515,450,3.92,0.0,49.0,41.0
512,516,248,2.87,14.0,48.0,1.0
513,517,382,3.18,2.0,47.0,30.0
514,518,149,2.46,14.0,45.0,1.0
515,519,202,1.94,4.0,46.0,53.0
516,520,374,2.93,9.0,45.0,1.0
517,521,117,3.37,0.0,41.0,33.0
518,522,83,3.57,11.0,20.0,0.0
519,523,117,3.66,0.0,20.0,0.0
520,524,476,3.62,14.0,44.0,24.0
521,525,21,3.19,3.0,6.0,47.0
522,526,8,2.5,1.0,4.0,2.0
523,527,2303,4.51,18.0,66.0,50.0
524,528,68,2.51,17.0,33.0,38.0
525,529,720,3.98,5.0,56.0,26.0
526,530,2,3.5,7.0,13.0,23.0
527,531,338,3.77,0.0,26.0,35.0
528,532,389,3.05,5.0,59.0,58.0
529,533,203,2.73,2.0,46.0,53.0
530,534,286,3.84,0.0,50.0,22.0
531,535,300,3.82,0.0,49.0,41.0
532,536,55,3.16,17.0,22.0,64.0
533,537,207,3.08,0.0,50.0,35.0
534,538,315,3.82,0.0,49.0,41.0
535,539,986,3.76,9.0,61.0,62.0
536,540,169,2.22,14.0,41.0,33.0
537,541,1799,4.27,18.0,67.0,37.0
538,542,206,2.67,14.0,45.0,1.0
539,543,682,3.38,9.0,61.0,62.0
540,544,129,2.64,4.0,46.0,53.0
541,545,1,2.0,1.0,3.0,9.0
542,546,350,1.87,16.0,48.0,53.0
543,547,124,2.88,4.0,46.0,51.0
544,548,137,2.55,4.0,46.0,53.0
545,549,156,3.82,11.0,20.0,31.0
546,550,178,3.02,14.0,42.0,52.0
547,551,996,3.72,18.0,63.0,49.0
548,552,529,3.24,2.0,70.0,30.0
549,553,553,3.87,2.0,58.0,58.0
550,554,26,2.62,3.0,6.0,42.0
551,555,658,3.93,5.0,56.0,46.0
552,556,132,4.23,11.0,20.0,54.0
553,557,2,4.5,1.0,4.0,9.0
554,558,135,2.7,17.0,27.0,32.0
555,559,5,3.0,1.0,4.0,9.0
556,560,8,3.62,1.0,4.0,9.0
557,561,13,3.62,11.0,21.0,12.0
558,562,477,3.8,5.0,49.0,41.0
559,563,17,3.24,7.0,16.0,42.0
560,564,45,2.27,17.0,32.0,6.0
561,565,61,3.13,11.0,21.0,12.0
562,566,13,2.92,7.0,16.0,42.0
563,567,14,3.57,3.0,6.0,43.0
564,568,35,3.86,11.0,9.0,68.0
565,569,100,2.93,17.0,32.0,6.0
566,570,23,3.22,1.0,8.0,20.0
567,571,34,3.59,11.0,23.0,60.0
568,572,2,3.0,1.0,4.0,2.0
569,573,20,3.52,1.0,9.0,28.0
570,574,175,3.45,0.0,50.0,61.0
571,575,107,2.82,17.0,27.0,6.0
572,576,1,3.0,1.0,3.0,9.0
573,577,55,2.96,17.0,34.0,32.0
574,578,2,4.5,1.0,3.0,9.0
575,579,1,2.0,6.0,1.0,7.0
576,580,62,3.24,11.0,22.0,64.0
577,581,141,4.05,0.0,20.0,54.0
578,582,2,3.0,1.0,4.0,9.0
579,583,28,3.68,1.0,9.0,43.0
580,584,1,4.0,7.0,13.0,23.0
581,585,418,2.91,9.0,61.0,62.0
582,586,675,3.13,9.0,61.0,62.0
583,587,1124,3.5,9.0,66.0,17.0
584,588,1351,3.79,18.0,63.0,49.0
585,589,2648,4.06,8.0,68.0,16.0
586,590,1451,3.92,18.0,66.0,17.0
587,591,2,2.0,1.0,4.0,9.0
588,592,1430,3.6,8.0,68.0,16.0
589,593,2577,4.35,18.0,66.0,50.0
590,594,763,3.85,9.0,63.0,59.0
591,595,1060,3.89,9.0,63.0,49.0
592,596,498,3.75,9.0,63.0,59.0
593,597,1046,3.64,9.0,61.0,62.0
594,598,8,4.25,1.0,4.0,9.0
595,599,264,4.09,12.0,52.0,36.0
596,600,30,3.0,11.0,21.0,12.0
597,601,1,3.0,6.0,1.0,7.0
598,602,41,4.12,1.0,9.0,68.0
599,603,58,3.0,17.0,22.0,64.0
600,604,0,0.0,,,
601,605,226,3.31,14.0,42.0,52.0
602,606,93,2.23,15.0,37.0,45.0
603,607,2,2.0,7.0,13.0,23.0
604,608,2512,4.25,18.0,66.0,50.0
605,609,67,2.78,17.0,34.0,32.0
606,610,618,3.55,2.0,60.0,13.0
607,611,216,2.47,15.0,37.0,45.0
608,612,79,2.41,17.0,22.0,64.0
609,613,82,3.63,11.0,20.0,64.0
610,614,9,2.67,11.0,24.0,20.0
611,615,67,4.04,13.0,16.0,44.0
612,616,278,3.35,16.0,64.0,59.0
613,617,17,3.65,11.0,23.0,60.0
614,618,9,2.11,7.0,16.0,42.0
615,619,32,2.59,3.0,8.0,47.0
616,620,0,0.0,,,
617,621,42,3.71,11.0,20.0,0.0
618,623,3,3.0,1.0,2.0,28.0
619,624,1,4.0,1.0,3.0,9.0
620,625,0,0.0,,,
621,626,19,2.26,3.0,5.0,39.0
622,627,121,3.6,0.0,50.0,61.0
623,628,485,3.9,5.0,58.0,58.0
624,629,0,0.0,,,
625,630,7,2.86,7.0,16.0,42.0
626,631,75,2.08,17.0,34.0,32.0
627,632,13,4.0,7.0,9.0,42.0
628,633,20,3.6,3.0,6.0,2.0
629,634,3,1.67,1.0,4.0,9.0
630,635,77,3.62,11.0,28.0,64.0
631,636,0,0.0,,,
632,637,140,2.54,17.0,25.0,6.0
633,638,19,3.21,11.0,22.0,42.0
634,639,78,2.62,11.0,28.0,64.0
635,640,71,2.68,17.0,41.0,33.0
636,641,1,1.0,1.0,3.0,9.0
